laureate
"Ragnar Frisch
(1895–1973)"
"Jan Tinbergen
(1903–1994)"
"Paul Samuelson
(1915–2009)"
"Simon Kuznets
(1901–1985)"
"John Hicks
(1904–1989)"
"Kenneth Arrow
(1921–2017)"
"Wassily Leontief
(1905–1999)"
"Gunnar Myrdal
(1898–1987)"
"Friedrich Hayek
(1899–1992)"
"Leonid Kantorovich
(1912–1986)"
"Tjalling Koopmans
(1910–1985)"
"Milton Friedman
(1912–2006)"
"Bertil Ohlin
(1899–1979)"
"James Meade
(1907–1995)"
"Herbert A. Simon
(1916–2001)"
"Theodore Schultz
(1902–1998)"
"Arthur Lewis
(1915–1991)"
"Lawrence Klein
(1920–2013)"
"James Tobin
(1918–2002)"
"George Stigler
(1911–1991)"
"Gérard Debreu
(1921–2004)"
"Richard Stone
(1913–1991)"
"Franco Modigliani
(1918–2003)"
"James M. Buchanan
(1919–2013)"
"Robert Solow
(1924–2023)"
"Maurice Allais
(1911–2010)"
"Trygve Haavelmo
(1911–1999)"
"Harry Markowitz
(1927–2023)"
"Merton Miller
(1923–2000)"
"William F. Sharpe
(b. 1934)"
"Ronald Coase
(1910–2013)"
"Gary Becker
(1930–2014)"
"Robert Fogel
(1926–2013)"
"Douglass North
(1920–2015)"
"John Harsanyi
(1920–2000)"
"John Forbes Nash
(1928–2015)"
"Reinhard Selten
(1930–2016)"
"Robert Lucas, Jr.
(1937–2023)"
"James Mirrlees
(1936–2018)"
"William Vickrey
(1914–1996)"
"Robert C. Merton
(b. 1944)"
"Myron Scholes
(b. 1941)"
"Amartya Sen
(b. 1933)"
"Robert Mundell
(1932–2021)"
"James Heckman
(b. 1944)"
"Daniel McFadden
(b. 1937)"
"George Akerlof
(b. 1940)"
"Michael Spence
(b. 1943)"
"Joseph Stiglitz
(b. 1943)"
"Daniel Kahneman
(1934–2024)"
"Vernon L. Smith
(b. 1927)"
"Robert F. Engle
(b. 1942)"
"Clive Granger
(1934–2009)"
"Finn E. Kydland
(b. 1943)"
"Edward C. Prescott
(1940–2022)"
"Robert J. Aumann
(b. 1930)"
"Thomas C. Schelling
(1921–2016)"
"Edmund S. Phelps
(b. 1933)"
"Leonid Hurwicz
(1917–2008)"
"Eric S. Maskin
(b. 1950)"
"Roger Myerson
(b. 1951)"
"Paul Krugman
(b. 1953)"
"Elinor Ostrom
(1933–2012)"
"Oliver E. Williamson
(1932–2020)"
"Peter A. Diamond
(b. 1940)"
"Dale T. Mortensen
(1939–2014)"
"Christopher A. Pissarides
(b. 1948)"
"Thomas J. Sargent
(b. 1943)"
"Christopher A. Sims
(b. 1942)"
"Alvin E. Roth
(b. 1951)"
"Lloyd S. Shapley
(1923–2016)"
"Eugene F. Fama
(b. 1939)"
"Lars Peter Hansen
(b. 1952)"
"Robert J. Shiller
(b. 1946)"
"Jean Tirole
(b. 1953)"
"Angus Deaton
(b. 1945)"
"Oliver Hart
(b. 1948)"
"Bengt Holmström
(b. 1949)"
"Richard Thaler
(b. 1945)"
"William Nordhaus
(b. 1941)"
"Paul Romer
(b. 1955)"
"Abhijit Banerjee
(b. 1961)"
"Esther Duflo
(b. 1972)"
"Michael Kremer
(b. 1964)"
"Paul Milgrom
(b. 1948)"
"Robert B. Wilson
(b. 1937)"
"David Card
(b. 1956)"
"Joshua Angrist
(b. 1960)"
"Guido Imbens
(b. 1963)"
"Ben Bernanke
(b. 1953)"
"Douglas Diamond
(b. 1953)"
"Philip H. Dybvig
(b. 1955)"
"Claudia Goldin
(b. 1946)"
